date,region,product,price_per_unit,marketing_spend,units_sold,customer_satisfaction
2020-10-17,West,Alpha,26.57,329.87,0,4.177761868070987
2020-10-17,East,Alpha,44.71,304.27,1,3.8981609390692817
2020-10-18,North,Gamma,36.19,143.05,0,3.466644798899318
2020-10-20,North,Delta,38.09,708.38,6,4.028876902734326
2020-10-20,West,Beta,14.04,498.95,0,4.206731362358194
2020-10-20,East,Beta,45.79,791.74,4,4.833754713476434
2020-10-20,East,Gamma,49.56,530.41,0,4.31391835427798
2020-10-21,East,Alpha,27.1,162.94,0,4.7651583610359225
2020-10-23,South,Delta,16.42,185.74,0,3.58522494477244
2020-10-24,South,Delta,44.07,751.89,6,3.738455531300639
2020-10-25,West,Beta,46.97,563.66,8,4.336838440266205
2020-10-25,West,Gamma,23.36,621.47,10,4.129026028039982
2020-10-25,East,Alpha,34.48,980.56,13,4.6189890013798065
2020-10-26,South,Beta,49.3,234.31,0,4.311618106110883
2020-10-31,North,Alpha,22.65,615.74,0,3.9484990425798125
2020-10-31,South,Gamma,48.99,989.45,17,4.246599824457185
2020-11-02,South,Alpha,5.43,814.37,31,3.764296121016401
2020-11-02,West,Delta,45.67,637.34,3,4.157793267525285
2020-11-03,West,Delta,44.07,647.64,7,3.9050324943212464
2020-11-05,South,Gamma,17.77,602.03,4,3.3594638541872994
2020-11-05,East,Gamma,47.93,359.82,0,3.923750655508477
2020-11-07,East,Delta,49.57,573.85,7,4.35954559580156
2020-11-11,South,Gamma,5.05,609.92,22,3.434303497926796
2020-11-12,East,Gamma,37.59,191.93,1,4.661524345608177
2020-11-12,North,Delta,19.58,504.49,18,4.4607881903142985
2020-11-12,North,Beta,5.8,220.42,0,4.5443711597040775
2020-11-12,East,Gamma,37.9,277.44,0,4.269884263915211
2020-11-14,South,Delta,22.28,674.19,0,3.7697785263781984
2020-11-14,East,Alpha,44.79,227.6,5,4.908363034596336
2020-11-14,South,Alpha,25.69,442.38,2,4.274206587765462
2020-11-15,West,Delta,25.79,657.05,6,3.651738862083546
2020-11-16,West,Delta,37.6,256.38,6,4.3044756947365475
2020-11-17,North,Gamma,43.17,423.33,6,4.075076540991981
2020-11-18,North,Beta,10.78,390.28,0,4.322942382469381
2020-11-20,North,Beta,49.65,773.37,10,4.205841562606786
2020-11-21,West,Delta,39.13,832.39,4,3.7824600719450916
2020-11-22,North,Alpha,26.59,915.3,8,4.42353588731376
2020-11-22,East,Alpha,45.85,219.83,11,4.909439642922701
2020-11-27,West,Delta,26.16,963.84,8,4.209333070303364
2020-11-28,West,Gamma,11.73,214.48,3,3.39868717282466
2020-11-29,North,Beta,30.01,164.15,0,4.836689006570319
2020-11-29,North,Delta,31.51,311.71,0,4.091169580727152
2020-11-30,West,Gamma,33.5,953.73,7,3.3851399068237322
2020-11-30,East,Delta,10.91,487.3,14,5.0
2020-12-01,North,Beta,9.63,464.78,11,4.656786368270666
2020-12-02,South,Alpha,16.87,695.47,4,3.7509234432888428
2020-12-03,North,Gamma,36.1,213.17,3,4.092375117998516
2020-12-04,West,Gamma,6.83,909.01,23,4.389602438516625
2020-12-06,South,Alpha,41.9,245.59,0,4.726721661636982
2020-12-10,South,Beta,49.51,708.26,8,4.263488813674639
2020-12-10,South,Delta,28.41,925.98,4,3.8903133428823353
2020-12-11,South,Delta,6.57,511.17,17,3.5806778494846814
2020-12-20,South,Gamma,45.89,617.13,0,3.5479404512894948
2020-12-20,East,Beta,16.28,115.76,5,5.0
2020-12-25,East,Gamma,37.95,436.87,0,3.858806877907779
2020-12-26,East,Delta,8.42,593.65,19,4.015466538173159
2020-12-27,East,Beta,31.56,549.4,19,4.719823165673092
2020-12-27,West,Delta,9.8,967.01,31,3.891990365603542
2020-12-28,South,Gamma,36.72,648.85,0,3.7977094046617204
2020-12-30,North,Alpha,42.02,229.19,0,4.249109764271453
2020-12-30,North,Delta,32.04,347.09,0,3.801500032036892
